id,name,latitude,longitude
Q11805,Erzbistum Köln,,
Q97990894,Ostfriesland,,
4015304-6,name,,
4008698-7,name,,
4033043-6,name,,
4105634-6,name,,
4068260-2,name,,
4108646-6,name,,
4065282-8,name,,
Q1017,Aachen,50.776207,6.083788
Q491786,Calvià,39.566667,2.516667
Q153809,Tirol,47,11
Q597,Lissabon,38.708042,-9.139016
Q660060,Waidhofen an der Thaya,48.816666666667,15.283333333333
Q368929,Jindřichův Hradec,49.144110393651,15.003024549245
Q367362,Schloss Jindřichův Hradec,49.142019,15.001462
Q260320,Steyr,48.05,14.416666666667
Q1935531,Sviny,49.187211775289,14.635927767047
Q1010144,Hluboká nad Vltavou,49.052328810727,14.434283204502
Q170072,Republik der Vereinigten Niederlande,52.08,4.3
Q22,Schottland,57,-5
Q27,Irland,53,-8
Q983,Äquatorialguinea,1.5,10
Q644636,Zypern,35,33
Q6548,Orléans,47.902222222222,1.9041666666667
Q64077,Wil,47.466388888889,9.0497222222222
Q153925,Pünte,53.2233,7.52528
Q38,Italien,42.5,12.5
Q194205,Golf von Venedig,45.316666666667,13
Q4951156,Sizilien,37.566666666667,14.266666666667
Q8828,Mallorca,39.616666666667,2.9833333333333
Q2009437,Oberelsass,,
Q1142,Elsass,48.5,7.5
Q682753,Böheimkirchen,48.197777777778,15.762222222222
Q1218,Jerusalem,31.77888888888889,35.22555555555556
Q6397,Avignon,43.948611111111,4.8083333333333
Q617,Padua,45.40777777777778,11.873333333333333
Q6537,Vicenza,45.55,11.55
Q145,Vereinigtes Königreich,54.6,-2
Q9005,Groß-Brüssel,50.846666666667,4.3525
Q4174,Emden,53.366944444444,7.2061111111111
Q2100,Duisburg,51.432222222222,6.7611111111111
Q9337,Flämische Region,51,4.5
3974960,name,,
Q40844,Breda,51.58888888888889,4.775833333333333
Q836937,Herzogtum Jülich,50.91666667,6.35
Q1408912,Festung Jülich,50.9255,6.36006
Q200122,Linnich,50.978888888889,6.2677777777778
Q163125,Randerath,51.018019444444,6.17475
Q118256,Festung Spielberg,49.194444,16.598889
Q552382,Bellheim,49.198055555556,8.2791666666667
Q1976221,Königliches Museum Mariemont,50.4677,4.23276
Q584,Rhein,51.980833333333,4.0930555555556
Q10084,Vlissingen,51.45,3.5833333333333
Q1055,Hamburg,53.55,10
Q1250,Friaul-Julisch Venetien,46.1,13.116666666667
Q12548,Heiliges Römisches Reich,50,10
Q134494,Győr,47.684166666667,17.634444444444
Q14813,Gifhorn,52.488611111111,10.546388888889
Q1492,Barcelona,41.3825,2.1769444444444
Q1713787,Rudolfov,48.993468810656,14.541798472264
Q1733,Magdeburg,52.1315889,11.6399609
Q1780,Bratislava,48.144722222222,17.112777777778
Q1799,Breslau,51.11,17.0325
Q2079,Leipzig,51.3406321,12.3747329
Q270,Warschau,52.23,21.011111111111113
Q2773,Braunschweig,52.269166666667,10.521111111111
Q2978,Regensburg,49.016666666666666,12.083333333333334
Q3581,Roanne,46.036111111111,4.0680555555556
Q39,Schweiz,46.798562,8.231973
Q4122,Wolfenbüttel,52.162222222222,10.536944444444
Q456,Lyon,45.7675,4.835
Q52174,Otranto,40.147825,18.485933
Q578688,Pfaffenschlag bei Waidhofen an der Thaya,48.833333333333,15.183333333333
Q6596,Gorizia,45.9352,13.6193
Q675724,Kloster Vyšší Brod,48.620555555556,14.306666666667
Q901914,Braunschweiger Land,,
Q13674,Ragusa,36.925,14.730555555556
Q10080,Sluis,51.35,3.5
